2025/05/03 08:36:22 [error] 44220#13124: *2508 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2506 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2510 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2511 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2512 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2513 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2514 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2515 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2516 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2517 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2518 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2519 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2520 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
